# Daily demand data for inventory analysis
# Columns: Date, Product, DemandQuantity, OrdersReceived, StockLevel
Date,Product,DemandQuantity,OrdersReceived,StockLevel
2024-01-01,A,145,3,850
2024-01-01,B,98,2,620
2024-01-01,C,203,5,1120
2024-01-02,A,152,4,703
2024-01-02,B,87,2,535
2024-01-02,C,195,4,929
2024-01-03,A,138,3,568
2024-01-03,B,105,3,433
2024-01-03,C,218,5,716
2024-01-04,A,161,4,411
2024-01-04,B,92,2,343
2024-01-04,C,187,4,533
2024-01-05,A,149,3,265
2024-01-05,B,98,2,247
2024-01-05,C,209,5,329
2024-01-06,A,156,500,609
2024-01-06,B,89,0,158
2024-01-06,C,201,450,578
2024-01-07,A,143,0,466
2024-01-07,B,94,300,364
2024-01-07,C,195,0,383
2024-01-08,A,158,4,312
2024-01-08,B,101,3,266
2024-01-08,C,212,5,176
2024-01-09,A,147,3,168
2024-01-09,B,88,2,180
2024-01-09,C,199,4,981
2024-01-10,A,154,500,514
2024-01-10,B,96,0,84
2024-01-10,C,206,0,775
