# Sample manufacturing data
# Columns: ProductID, DefectRate, ProductionTime, MaterialCost, LaborHours, QualityScore
ProductID,DefectRate,ProductionTime,MaterialCost,LaborHours,QualityScore
P001,0.02,45.3,125.50,3.2,94.5
P002,0.01,38.7,98.75,2.8,96.2
P003,0.03,52.1,145.30,3.8,92.1
P004,0.02,41.2,110.20,3.0,95.3
P005,0.04,55.8,158.90,4.2,89.7
P006,0.01,35.5,89.40,2.5,97.1
P007,0.02,47.6,132.60,3.4,93.8
P008,0.03,50.3,140.75,3.9,91.5
P009,0.01,39.8,102.30,2.9,96.8
P010,0.02,44.1,118.50,3.3,94.2
P011,0.05,58.2,165.20,4.5,87.3
P012,0.01,36.9,95.80,2.7,96.5
P013,0.02,46.4,128.90,3.5,93.4
P014,0.03,51.7,148.60,4.0,90.8
P015,0.01,37.2,99.50,2.6,97.3
P016,0.04,54.5,152.40,4.1,88.9
P017,0.02,42.8,115.70,3.1,95.0
P018,0.01,38.3,100.20,2.8,96.6
P019,0.03,49.6,138.30,3.7,92.3
P020,0.02,45.9,126.80,3.3,94.1
P021,0.01,40.1,105.60,3.0,95.9
P022,0.04,56.3,160.50,4.3,88.5
P023,0.02,43.7,120.40,3.2,94.7
P024,0.03,52.9,146.70,3.9,91.2
P025,0.01,37.8,97.90,2.7,96.9
P026,0.02,48.2,135.20,3.6,93.1
P027,0.05,59.1,168.30,4.6,86.8
P028,0.01,36.4,92.50,2.6,97.5
P029,0.02,44.6,122.10,3.3,94.5
P030,0.03,50.8,142.80,3.8,91.7
